Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
661727,-8.47,-5.02,-4.79,21.39,1026.07
661849,-8.47,-5.06,-4.79,21.39,1026.07
661971,-8.47,-4.98,-4.82,21.39,1026.07
662093,-8.43,-5.02,-4.79,21.39,1026.08
662213,-8.51,-5.02,-4.82,21.39,1026.08
662335,-8.55,-5.02,-4.79,21.39,1026.09
662457,-8.43,-5.02,-4.75,21.39,1026.09
662579,-8.47,-5.02,-4.82,21.39,1026.09
662701,-8.43,-5.06,-4.79,21.39,1026.09
662823,-8.47,-5.02,-4.75,21.39,1026.09
662943,-8.43,-5.02,-4.82,21.39,1026.10
663065,-8.47,-5.02,-4.79,21.39,1026.10
663187,-8.47,-5.06,-4.79,21.39,1026.10
663309,-8.43,-5.02,-4.75,21.39,1026.10
663431,-8.43,-5.06,-4.71,21.39,1026.10
663553,-8.43,-5.06,-4.79,21.39,1026.10
663674,-8.51,-5.02,-4.79,21.39,1026.09
663795,-8.47,-5.02,-4.79,21.39,1026.09
663917,-8.47,-5.02,-4.79,21.39,1026.10
664039,-8.47,-5.02,-4.71,21.39,1026.10
664161,-8.47,-5.02,-4.75,21.39,1026.09
664283,-8.51,-5.06,-4.75,21.39,1026.10
664404,-8.43,-5.10,-4.79,21.39,1026.10
664526,-8.47,-5.06,-4.79,21.39,1026.10
664647,-8.51,-5.02,-4.75,21.39,1026.10
664769,-8.47,-5.06,-4.75,21.39,1026.10
664891,-8.47,-5.06,-4.79,21.39,1026.09
665012,-8.47,-5.02,-4.71,21.39,1026.09
665134,-8.47,-5.02,-4.82,21.39,1026.10
665256,-8.47,-5.02,-4.75,21.39,1026.10
665378,-8.47,-5.02,-4.86,21.39,1026.10
665499,-8.43,-5.02,-4.79,21.39,1026.10
665621,-8.43,-5.02,-4.75,21.39,1026.10
665742,-8.43,-5.02,-4.79,21.39,1026.10
665864,-8.39,-5.06,-4.79,21.39,1026.10
665986,-8.51,-5.06,-4.82,21.39,1026.09
666108,-8.43,-5.02,-4.75,21.39,1026.09
666229,-8.47,-5.02,-4.82,21.39,1026.09
666351,-8.47,-5.02,-4.79,21.39,1026.09
666472,-8.47,-5.02,-4.79,21.38,1026.09
666594,-8.47,-5.02,-4.79,21.38,1026.09
666716,-8.51,-5.06,-4.82,21.38,1026.09
666838,-8.43,-5.06,-4.86,21.38,1026.09
666960,-8.47,-5.06,-4.79,21.38,1026.09
667081,-8.47,-5.02,-4.79,21.38,1026.09
667202,-8.47,-5.06,-4.82,21.38,1026.09
667324,-8.47,-5.02,-4.75,21.38,1026.09
667446,-8.47,-5.06,-4.75,21.38,1026.09
667568,-8.47,-5.02,-4.75,21.38,1026.09
667690,-8.47,-5.02,-4.75,21.38,1026.09
667812,-8.43,-5.06,-4.79,21.38,1026.09
667932,-8.47,-4.98,-4.79,21.38,1026.09
668054,-8.47,-5.06,-4.79,21.38,1026.09
668176,-8.47,-5.02,-4.79,21.38,1026.09
668298,-8.47,-5.02,-4.79,21.38,1026.09
668420,-8.47,-5.06,-4.79,21.38,1026.08
668541,-8.47,-5.02,-4.82,21.38,1026.08
668662,-8.43,-5.06,-4.82,21.38,1026.08
668784,-8.47,-5.06,-4.71,21.38,1026.08
668906,-8.47,-5.06,-4.75,21.38,1026.08
669028,-8.47,-5.02,-4.75,21.38,1026.08
669150,-8.47,-5.06,-4.75,21.38,1026.08
669271,-8.47,-5.02,-4.79,21.38,1026.08
669393,-8.43,-5.02,-4.82,21.38,1026.08
669514,-8.43,-5.02,-4.79,21.38,1026.09
669636,-8.47,-5.02,-4.79,21.38,1026.09
669758,-8.47,-5.02,-4.75,21.38,1026.09
669880,-8.43,-5.06,-4.75,21.38,1026.09
670001,-8.43,-5.06,-4.75,21.38,1026.10
670123,-8.51,-5.06,-4.75,21.38,1026.10
670245,-8.51,-5.10,-4.82,21.38,1026.10
670366,-8.47,-5.06,-4.79,21.38,1026.09
670488,-8.47,-5.06,-4.79,21.38,1026.09
670610,-8.47,-5.02,-4.75,21.38,1026.10
670731,-8.47,-5.02,-4.75,21.38,1026.10
670853,-8.43,-5.06,-4.75,21.38,1026.09
670975,-8.47,-5.06,-4.79,21.38,1026.09
671097,-8.47,-5.06,-4.79,21.38,1026.09
671218,-8.43,-5.06,-4.79,21.38,1026.09
671340,-8.43,-5.06,-4.75,21.38,1026.09
671461,-8.47,-5.02,-4.79,21.38,1026.08
671583,-8.43,-5.06,-4.79,21.38,1026.09
671705,-8.47,-5.02,-4.71,21.38,1026.09
671827,-8.47,-5.06,-4.75,21.38,1026.09
671949,-8.43,-5.06,-4.71,21.38,1026.08
672070,-8.39,-5.10,-4.75,21.38,1026.08
672191,-8.43,-5.06,-4.79,21.38,1026.08
672313,-8.47,-5.02,-4.71,21.38,1026.08
672435,-8.43,-5.06,-4.82,21.38,1026.07
672557,-8.47,-5.06,-4.75,21.38,1026.07
672679,-8.43,-5.06,-4.79,21.38,1026.07
672799,-8.39,-5.06,-4.75,21.38,1026.07
672921,-8.43,-5.06,-4.75,21.38,1026.07
673043,-8.43,-5.02,-4.79,21.38,1026.07
673165,-8.47,-5.06,-4.79,21.38,1026.07
673287,-8.51,-5.06,-4.75,21.38,1026.07
673409,-8.43,-5.06,-4.67,21.38,1026.07
673530,-8.43,-5.06,-4.75,21.38,1026.07
673651,-8.47,-5.06,-4.79,21.38,1026.07
673773,-8.47,-5.02,-4.75,21.38,1026.07
673895,-8.47,-5.02,-4.82,21.38,1026.06
674017,-8.47,-5.02,-4.71,21.38,1026.06
674139,-8.47,-5.06,-4.75,21.38,1026.06
674260,-8.43,-5.06,-4.71,21.38,1026.06
674382,-8.47,-5.06,-4.75,21.38,1026.06
674503,-8.47,-5.02,-4.82,21.38,1026.05
674625,-8.43,-5.06,-4.71,21.38,1026.06
674747,-8.47,-5.02,-4.75,21.38,1026.06
674869,-8.39,-5.06,-4.79,21.38,1026.06
674990,-8.47,-5.06,-4.75,21.38,1026.05
675112,-8.51,-5.02,-4.79,21.38,1026.06
675234,-8.51,-5.02,-4.75,21.38,1026.06
675355,-8.47,-5.02,-4.75,21.38,1026.06
675477,-8.47,-5.06,-4.79,21.38,1026.06
675599,-8.47,-5.06,-4.82,21.38,1026.06
675720,-8.47,-5.02,-4.79,21.38,1026.06
675842,-8.39,-5.06,-4.71,21.38,1026.06
675964,-8.47,-5.06,-4.75,21.38,1026.06
676085,-8.43,-5.02,-4.75,21.38,1026.06
676207,-8.47,-5.06,-4.71,21.38,1026.06
676328,-8.47,-5.02,-4.75,21.38,1026.06
676450,-8.43,-5.02,-4.75,21.38,1026.06
676572,-8.43,-5.06,-4.75,21.38,1026.06
676694,-8.47,-5.02,-4.82,21.38,1026.06
676816,-8.43,-5.02,-4.75,21.38,1026.06
676937,-8.39,-5.06,-4.79,21.38,1026.06
677058,-8.43,-5.06,-4.75,21.38,1026.05
677180,-8.47,-5.02,-4.75,21.38,1026.06
677302,-8.51,-5.02,-4.75,21.38,1026.06
677424,-8.43,-5.06,-4.82,21.38,1026.06
677546,-8.47,-5.06,-4.75,21.38,1026.06
677668,-8.47,-5.02,-4.79,21.38,1026.06
677788,-8.43,-5.06,-4.79,21.38,1026.05
677910,-8.47,-5.06,-4.75,21.38,1026.05
678032,-8.51,-5.06,-4.67,21.38,1026.05
678154,-8.47,-5.06,-4.71,21.38,1026.06
678276,-8.39,-5.10,-4.75,21.38,1026.06
678398,-8.47,-5.06,-4.79,21.38,1026.06
678518,-8.43,-5.02,-4.82,21.38,1026.07
678640,-8.47,-5.02,-4.79,21.38,1026.07
678762,-8.47,-5.02,-4.71,21.38,1026.08
678884,-8.47,-5.06,-4.79,21.37,1026.08
679006,-8.43,-5.06,-4.75,21.38,1026.08
679128,-8.43,-5.10,-4.67,21.38,1026.08
679249,-8.47,-5.06,-4.75,21.37,1026.08
679370,-8.47,-5.02,-4.71,21.37,1026.08
679492,-8.51,-5.02,-4.71,21.37,1026.08
679614,-8.51,-5.02,-4.75,21.37,1026.08
679736,-8.43,-5.02,-4.71,21.37,1026.08
679858,-8.47,-5.02,-4.75,21.37,1026.08
679979,-8.51,-5.06,-4.75,21.37,1026.08
680101,-8.43,-5.06,-4.75,21.37,1026.08
680222,-8.43,-5.06,-4.75,21.37,1026.09
680344,-8.47,-5.06,-4.75,21.37,1026.09
680466,-8.51,-5.06,-4.75,21.37,1026.09
680587,-8.43,-5.06,-4.79,21.37,1026.09
680709,-8.43,-5.02,-4.75,21.37,1026.09
680831,-8.47,-5.06,-4.75,21.37,1026.09
680953,-8.47,-5.02,-4.79,21.37,1026.08
681074,-8.47,-5.06,-4.75,21.37,1026.08
681196,-8.43,-5.06,-4.79,21.37,1026.08
681317,-8.47,-5.06,-4.79,21.37,1026.08
681439,-8.47,-5.02,-4.71,21.37,1026.08
681561,-8.43,-5.06,-4.71,21.37,1026.08
681683,-8.43,-5.06,-4.79,21.37,1026.08
681805,-8.43,-5.06,-4.79,21.37,1026.08
681926,-8.47,-5.02,-4.79,21.37,1026.08
682047,-8.47,-5.02,-4.75,21.37,1026.08
682169,-8.47,-5.06,-4.71,21.37,1026.07
682291,-8.43,-5.06,-4.79,21.37,1026.07
682413,-8.47,-5.06,-4.71,21.37,1026.07
682535,-8.43,-5.06,-4.71,21.37,1026.07
682656,-8.43,-5.06,-4.79,21.37,1026.07
682777,-8.43,-5.06,-4.75,21.37,1026.07
682899,-8.51,-5.02,-4.75,21.37,1026.07
683021,-8.51,-5.02,-4.79,21.37,1026.07
683143,-8.51,-5.02,-4.75,21.37,1026.07
683265,-8.43,-5.06,-4.75,21.37,1026.07
683387,-8.51,-5.02,-4.75,21.37,1026.07
683507,-8.43,-5.06,-4.79,21.37,1026.07
683629,-8.47,-5.02,-4.75,21.37,1026.07
683751,-8.51,-5.02,-4.71,21.37,1026.07
683873,-8.51,-5.02,-4.79,21.37,1026.07
683995,-8.47,-5.10,-4.75,21.37,1026.07
684116,-8.47,-5.02,-4.82,21.37,1026.07
684238,-8.43,-5.06,-4.82,21.37,1026.08
684359,-8.47,-5.02,-4.75,21.37,1026.07
684481,-8.47,-5.02,-4.75,21.37,1026.08
684603,-8.43,-5.06,-4.79,21.37,1026.07
684725,-8.47,-4.98,-4.79,21.37,1026.07
684846,-8.47,-5.06,-4.79,21.37,1026.07
684968,-8.47,-5.02,-4.79,21.37,1026.07
685090,-8.43,-5.06,-4.82,21.37,1026.07
685211,-8.51,-5.02,-4.75,21.37,1026.08
685333,-8.51,-5.02,-4.75,21.37,1026.08
685455,-8.47,-5.02,-4.79,21.37,1026.08
685576,-8.51,-5.06,-4.75,21.37,1026.08
685698,-8.47,-5.06,-4.75,21.37,1026.09
685820,-8.47,-5.02,-4.79,21.37,1026.08
685941,-8.43,-5.06,-4.71,21.37,1026.08
686063,-8.47,-5.02,-4.79,21.37,1026.08
686185,-8.47,-5.02,-4.82,21.37,1026.08
686306,-8.47,-5.02,-4.82,21.37,1026.08
686428,-8.47,-5.06,-4.82,21.37,1026.08
686550,-8.47,-4.98,-4.79,21.37,1026.08
686672,-8.47,-5.02,-4.86,21.37,1026.09
686793,-8.51,-5.02,-4.82,21.37,1026.09
686915,-8.51,-5.02,-4.71,21.37,1026.09
687036,-8.43,-5.02,-4.75,21.37,1026.09
687158,-8.47,-5.02,-4.79,21.37,1026.08
687280,-8.47,-5.02,-4.79,21.37,1026.08
687402,-8.43,-5.02,-4.79,21.37,1026.07
687524,-8.47,-5.02,-4.82,21.37,1026.07
687645,-8.47,-5.02,-4.75,21.37,1026.07
687766,-8.51,-5.02,-4.79,21.37,1026.07
687888,-8.55,-5.02,-4.79,21.37,1026.07
688010,-8.47,-5.02,-4.79,21.37,1026.07
688132,-8.47,-4.98,-4.75,21.37,1026.07
688254,-8.51,-5.02,-4.79,21.37,1026.07
688374,-8.51,-5.02,-4.79,21.37,1026.07
688496,-8.47,-5.02,-4.75,21.37,1026.08
688618,-8.47,-4.98,-4.75,21.37,1026.08
688740,-8.47,-5.02,-4.75,21.36,1026.07
688862,-8.51,-4.98,-4.86,21.36,1026.08
688984,-8.43,-5.02,-4.75,21.36,1026.08
689105,-8.47,-5.02,-4.75,21.36,1026.08
689226,-8.47,-5.02,-4.75,21.36,1026.09
689348,-8.51,-5.02,-4.71,21.36,1026.09
689470,-8.51,-5.02,-4.75,21.36,1026.09
689592,-8.47,-5.02,-4.75,21.36,1026.09
689714,-8.51,-5.02,-4.75,21.36,1026.09
689835,-8.47,-4.98,-4.82,21.36,1026.09
689957,-8.47,-5.06,-4.79,21.36,1026.09
690078,-8.47,-4.98,-4.75,21.36,1026.08
690200,-8.47,-4.98,-4.82,21.37,1026.09
690322,-8.51,-4.98,-4.82,21.37,1026.09
690444,-8.51,-5.02,-4.79,21.37,1026.09
690565,-8.47,-5.02,-4.79,21.36,1026.09
690687,-8.47,-5.02,-4.79,21.36,1026.08
690809,-8.51,-4.98,-4.79,21.36,1026.09
690930,-8.47,-5.02,-4.82,21.36,1026.08
691052,-8.51,-5.02,-4.82,21.36,1026.08
691174,-8.47,-4.98,-4.79,21.36,1026.08
691295,-8.47,-4.98,-4.79,21.36,1026.08
691417,-8.47,-5.02,-4.82,21.36,1026.08
691539,-8.51,-5.02,-4.75,21.36,1026.08
691661,-8.47,-4.98,-4.82,21.36,1026.08
691782,-8.47,-5.02,-4.75,21.36,1026.08
691903,-8.43,-5.02,-4.82,21.36,1026.09
692025,-8.47,-5.02,-4.79,21.36,1026.09
692147,-8.47,-5.02,-4.79,21.36,1026.09
692269,-8.47,-5.02,-4.82,21.36,1026.09
692391,-8.47,-5.02,-4.79,21.36,1026.09
692512,-8.47,-5.02,-4.82,21.36,1026.09
692633,-8.47,-5.02,-4.86,21.36,1026.09
692755,-8.51,-5.02,-4.75,21.36,1026.09
692877,-8.43,-5.02,-4.79,21.36,1026.09
692999,-8.51,-4.98,-4.71,21.36,1026.09
693121,-8.47,-5.02,-4.79,21.36,1026.09
693243,-8.43,-5.02,-4.79,21.36,1026.09
693363,-8.43,-5.02,-4.79,21.36,1026.09
693485,-8.51,-5.02,-4.79,21.36,1026.08
693607,-8.47,-5.02,-4.79,21.36,1026.08
693729,-8.51,-5.02,-4.82,21.36,1026.08
693851,-8.47,-5.02,-4.79,21.36,1026.08
693973,-8.47,-5.02,-4.71,21.36,1026.08
694094,-8.47,-4.98,-4.75,21.36,1026.09
694215,-8.47,-5.02,-4.79,21.36,1026.09
694337,-8.47,-5.02,-4.82,21.36,1026.09
694459,-8.47,-5.02,-4.75,21.36,1026.09
694581,-8.51,-4.98,-4.79,21.36,1026.09
694703,-8.43,-5.02,-4.79,21.36,1026.09
694824,-8.47,-5.02,-4.79,21.36,1026.09
694946,-8.51,-5.02,-4.79,21.36,1026.09
695067,-8.51,-5.02,-4.82,21.36,1026.09
695189,-8.51,-4.98,-4.79,21.36,1026.09
695311,-8.47,-5.02,-4.75,21.36,1026.08
695433,-8.43,-5.06,-4.75,21.36,1026.08
695554,-8.51,-5.02,-4.75,21.36,1026.08
695676,-8.47,-5.02,-4.79,21.36,1026.08
695797,-8.47,-5.02,-4.79,21.36,1026.08
695919,-8.47,-5.02,-4.79,21.36,1026.08
696041,-8.51,-5.02,-4.79,21.36,1026.09
696162,-8.51,-4.98,-4.82,21.36,1026.09
696284,-8.51,-5.02,-4.82,21.36,1026.09
696406,-8.51,-5.02,-4.79,21.36,1026.09
696528,-8.51,-4.98,-4.75,21.36,1026.09
696649,-8.47,-5.02,-4.82,21.36,1026.09
696771,-8.47,-5.02,-4.75,21.36,1026.09
696892,-8.51,-5.02,-4.86,21.36,1026.09
697014,-8.43,-5.02,-4.75,21.36,1026.10
697136,-8.47,-4.98,-4.79,21.36,1026.09
697258,-8.51,-5.02,-4.75,21.36,1026.10
697380,-8.43,-5.02,-4.75,21.36,1026.09
697501,-8.47,-5.02,-4.79,21.36,1026.09
697622,-8.43,-5.06,-4.79,21.36,1026.09
697744,-8.51,-5.02,-4.79,21.36,1026.09
697866,-8.51,-4.98,-4.79,21.36,1026.10
697988,-8.47,-5.02,-4.79,21.36,1026.10
698110,-8.43,-5.02,-4.79,21.36,1026.10
698232,-8.47,-5.02,-4.79,21.36,1026.10
698352,-8.47,-5.02,-4.75,21.36,1026.10
698474,-8.55,-5.02,-4.75,21.35,1026.09
698596,-8.47,-5.02,-4.75,21.35,1026.09
698718,-8.47,-4.98,-4.79,21.35,1026.09
698840,-8.47,-5.02,-4.79,21.35,1026.09
698962,-8.51,-4.98,-4.79,21.35,1026.09
699082,-8.43,-5.02,-4.75,21.35,1026.08
699204,-8.51,-4.98,-4.79,21.35,1026.08
699326,-8.47,-5.02,-4.79,21.35,1026.08
699448,-8.51,-5.02,-4.79,21.35,1026.09
699570,-8.47,-5.06,-4.75,21.35,1026.09
699691,-8.47,-5.02,-4.79,21.35,1026.09
699813,-8.43,-5.06,-4.75,21.35,1026.08
699934,-8.47,-4.98,-4.79,21.35,1026.08
700056,-8.47,-4.98,-4.79,21.35,1026.08
700178,-8.47,-5.02,-4.79,21.35,1026.08
700300,-8.51,-5.02,-4.79,21.35,1026.08
700421,-8.51,-5.02,-4.82,21.35,1026.08
700543,-8.47,-5.02,-4.79,21.35,1026.08
700665,-8.47,-5.02,-4.79,21.35,1026.08
700786,-8.47,-5.02,-4.75,21.35,1026.09
700908,-8.43,-5.02,-4.75,21.35,1026.09
701030,-8.47,-5.02,-4.79,21.35,1026.09
701151,-8.51,-5.02,-4.79,21.35,1026.08
701273,-8.47,-5.02,-4.82,21.35,1026.08
701395,-8.47,-5.02,-4.82,21.35,1026.09
701517,-8.47,-5.02,-4.79,21.35,1026.08
701638,-8.47,-5.02,-4.79,21.35,1026.08
701760,-8.47,-5.02,-4.79,21.35,1026.08
701881,-8.47,-5.02,-4.75,21.35,1026.08
702003,-8.47,-5.06,-4.79,21.35,1026.07
702125,-8.51,-5.02,-4.82,21.35,1026.07
702247,-8.51,-5.02,-4.79,21.35,1026.07
702368,-8.51,-5.02,-4.79,21.35,1026.08
702490,-8.51,-5.02,-4.79,21.35,1026.08
702611,-8.47,-5.02,-4.79,21.35,1026.08
702733,-8.47,-5.06,-4.67,21.35,1026.07
702855,-8.47,-5.06,-4.79,21.35,1026.07
702977,-8.47,-5.02,-4.71,21.35,1026.06
703099,-8.51,-4.98,-4.79,21.35,1026.06
703220,-8.47,-5.02,-4.75,21.35,1026.06
703341,-8.51,-5.06,-4.79,21.35,1026.06
703463,-8.43,-5.06,-4.79,21.35,1026.06
703585,-8.47,-5.02,-4.79,21.35,1026.06
703707,-8.47,-4.98,-4.79,21.35,1026.06
703829,-8.51,-5.06,-4.79,21.35,1026.06
703950,-8.47,-5.02,-4.79,21.35,1026.06
704071,-8.47,-5.02,-4.82,21.35,1026.07
704193,-8.51,-5.02,-4.82,21.35,1026.06
704315,-8.47,-5.06,-4.75,21.35,1026.06
704437,-8.47,-5.02,-4.86,21.35,1026.06
704559,-8.43,-5.06,-4.75,21.35,1026.06
704680,-8.51,-5.02,-4.75,21.35,1026.07
704802,-8.47,-4.98,-4.82,21.35,1026.07
704923,-8.47,-5.06,-4.71,21.35,1026.07
705045,-8.47,-5.06,-4.79,21.35,1026.07
705167,-8.47,-5.06,-4.71,21.35,1026.07
705289,-8.43,-5.02,-4.79,21.35,1026.07
705410,-8.47,-5.02,-4.75,21.35,1026.07
705532,-8.47,-5.02,-4.79,21.35,1026.07
705653,-8.39,-5.06,-4.79,21.35,1026.07
705775,-8.47,-5.02,-4.79,21.35,1026.07
705897,-8.47,-5.02,-4.79,21.35,1026.07
706019,-8.47,-5.02,-4.82,21.35,1026.07
706140,-8.47,-5.06,-4.75,21.35,1026.07
706262,-8.47,-5.02,-4.79,21.35,1026.06
706384,-8.47,-5.02,-4.82,21.35,1026.06
706505,-8.47,-5.06,-4.79,21.34,1026.06
706627,-8.47,-5.02,-4.75,21.35,1026.06
706749,-8.39,-5.06,-4.75,21.34,1026.06
706870,-8.43,-5.02,-4.79,21.34,1026.06
706992,-8.47,-5.02,-4.75,21.34,1026.06
707114,-8.47,-5.06,-4.75,21.34,1026.06
707236,-8.43,-5.06,-4.79,21.34,1026.07
707357,-8.47,-5.02,-4.79,21.34,1026.07
707478,-8.47,-5.02,-4.75,21.34,1026.07
707600,-8.47,-5.02,-4.82,21.34,1026.06
707722,-8.47,-5.06,-4.75,21.34,1026.07
707844,-8.51,-5.02,-4.75,21.34,1026.06
707966,-8.51,-5.02,-4.75,21.34,1026.07
708088,-8.43,-5.06,-4.75,21.34,1026.07
708208,-8.47,-5.06,-4.79,21.34,1026.07
708330,-8.47,-5.06,-4.75,21.34,1026.07
708452,-8.47,-5.02,-4.75,21.34,1026.07
708574,-8.47,-5.02,-4.82,21.34,1026.07
708696,-8.47,-5.02,-4.82,21.34,1026.07
708818,-8.47,-5.02,-4.75,21.34,1026.08
708938,-8.43,-5.02,-4.79,21.34,1026.08
709060,-8.47,-5.02,-4.79,21.34,1026.07
709182,-8.39,-5.02,-4.82,21.34,1026.07
709304,-8.43,-5.02,-4.79,21.34,1026.07
709426,-8.47,-5.02,-4.79,21.34,1026.07
709548,-8.47,-5.06,-4.82,21.34,1026.07
709669,-8.47,-5.02,-4.79,21.34,1026.07
709790,-8.47,-5.02,-4.79,21.34,1026.07
709912,-8.47,-5.02,-4.82,21.34,1026.07
710034,-8.43,-5.02,-4.75,21.34,1026.07
710156,-8.51,-5.02,-4.79,21.34,1026.08
710278,-8.47,-5.02,-4.75,21.34,1026.07
710399,-8.47,-5.06,-4.79,21.34,1026.07
710521,-8.47,-5.02,-4.79,21.34,1026.07
710642,-8.47,-5.02,-4.79,21.34,1026.07
710764,-8.47,-5.02,-4.75,21.34,1026.06
710886,-8.47,-5.02,-4.82,21.34,1026.06
711008,-8.47,-5.02,-4.75,21.34,1026.06
711129,-8.43,-5.02,-4.75,21.34,1026.07
711251,-8.47,-5.06,-4.79,21.34,1026.07
711373,-8.47,-5.02,-4.75,21.34,1026.07
711494,-8.51,-5.02,-4.79,21.34,1026.07
711616,-8.43,-5.06,-4.75,21.34,1026.07
711737,-8.51,-5.02,-4.79,21.34,1026.07
711859,-8.47,-5.02,-4.82,21.34,1026.07
711981,-8.47,-5.02,-4.82,21.34,1026.07
712144,-8.43,-5.06,-4.79,21.34,1026.07
712265,-8.47,-4.98,-4.79,21.34,1026.07
712387,-8.47,-5.02,-4.71,21.34,1026.07
712509,-8.47,-5.06,-4.75,21.34,1026.07
712631,-8.47,-5.02,-4.75,21.34,1026.07
712752,-8.43,-5.02,-4.75,21.34,1026.07
712874,-8.47,-5.02,-4.75,21.34,1026.07
712996,-8.47,-5.02,-4.79,21.34,1026.08
713117,-8.47,-5.02,-4.82,21.34,1026.08
713239,-8.47,-5.02,-4.79,21.34,1026.09
713361,-8.43,-5.06,-4.79,21.34,1026.09
713482,-8.47,-5.06,-4.82,21.34,1026.09
713604,-8.51,-5.02,-4.75,21.34,1026.09
713726,-8.51,-5.06,-4.75,21.34,1026.09
713848,-8.51,-5.02,-4.75,21.34,1026.09
713969,-8.47,-5.02,-4.79,21.34,1026.09
714091,-8.47,-5.02,-4.75,21.34,1026.09
714212,-8.47,-5.06,-4.75,21.34,1026.09
714334,-8.47,-5.02,-4.71,21.34,1026.09
714456,-8.51,-5.06,-4.79,21.34,1026.09
714578,-8.43,-5.02,-4.82,21.34,1026.09
714699,-8.47,-5.02,-4.75,21.34,1026.09
714820,-8.43,-5.06,-4.79,21.34,1026.09
714942,-8.43,-5.06,-4.75,21.34,1026.09
715064,-8.47,-5.06,-4.82,21.34,1026.09
715186,-8.47,-5.02,-4.63,21.34,1026.08
715308,-8.47,-5.06,-4.79,21.34,1026.09
715430,-8.47,-5.02,-4.82,21.34,1026.09
715550,-8.43,-5.06,-4.79,21.34,1026.09
715672,-8.43,-5.02,-4.71,21.34,1026.09
715794,-8.47,-5.06,-4.71,21.34,1026.10
715916,-8.47,-5.02,-4.79,21.34,1026.10
716038,-8.51,-5.02,-4.79,21.34,1026.10
716160,-8.47,-5.02,-4.75,21.34,1026.10
716281,-8.47,-5.06,-4.79,21.34,1026.09
716402,-8.43,-5.06,-4.75,21.34,1026.10
716524,-8.47,-5.06,-4.75,21.34,1026.09
716646,-8.47,-5.06,-4.82,21.34,1026.09
716768,-8.43,-5.06,-4.75,21.34,1026.09
716890,-8.47,-5.06,-4.67,21.34,1026.09
717011,-8.43,-5.06,-4.79,21.34,1026.09
717133,-8.47,-5.06,-4.71,21.34,1026.09
717254,-8.47,-5.06,-4.79,21.34,1026.09
717376,-8.47,-5.02,-4.75,21.34,1026.09
717498,-8.47,-5.02,-4.75,21.34,1026.09
717620,-8.47,-5.06,-4.75,21.34,1026.10
717741,-8.47,-5.06,-4.75,21.34,1026.09
717863,-8.47,-5.06,-4.79,21.34,1026.09
717984,-8.47,-5.02,-4.75,21.34,1026.10
718106,-8.47,-5.06,-4.71,21.34,1026.10
718228,-8.47,-5.02,-4.75,21.34,1026.09
718349,-8.47,-5.06,-4.79,21.34,1026.09
718471,-8.43,-5.06,-4.75,21.34,1026.09
718593,-8.51,-5.02,-4.75,21.33,1026.08
718715,-8.43,-5.06,-4.79,21.33,1026.08
718836,-8.43,-5.06,-4.82,21.33,1026.08
718958,-8.47,-5.06,-4.71,21.33,1026.08
719079,-8.47,-5.06,-4.82,21.33,1026.07
719201,-8.43,-5.10,-4.75,21.33,1026.08
719323,-8.47,-5.06,-4.75,21.33,1026.08
719445,-8.43,-5.06,-4.79,21.33,1026.08
719567,-8.43,-5.10,-4.71,21.33,1026.09
719688,-8.47,-5.06,-4.71,21.33,1026.09
719809,-8.43,-5.02,-4.79,21.33,1026.09
719931,-8.47,-5.02,-4.75,21.33,1026.09
720053,-8.51,-5.06,-4.71,21.33,1026.09
720175,-8.43,-5.06,-4.79,21.33,1026.09
720297,-8.47,-5.06,-4.75,21.33,1026.08
720419,-8.47,-5.02,-4.75,21.33,1026.09
720539,-8.47,-5.06,-4.79,21.33,1026.09
720661,-8.47,-5.06,-4.79,21.33,1026.09
720783,-8.43,-5.06,-4.71,21.33,1026.09
720905,-8.47,-5.06,-4.75,21.33,1026.09
721027,-8.43,-5.06,-4.75,21.33,1026.08
721149,-8.43,-5.06,-4.71,21.33,1026.08
721269,-8.39,-5.06,-4.71,21.33,1026.09
721391,-8.43,-5.06,-4.79,21.33,1026.09
721513,-8.47,-5.02,-4.71,21.33,1026.08
721635,-8.43,-5.06,-4.75,21.33,1026.08
721757,-8.47,-5.06,-4.79,21.33,1026.08
721878,-8.43,-5.06,-4.75,21.33,1026.08
722000,-8.43,-5.02,-4.71,21.33,1026.08
722121,-8.43,-5.02,-4.82,21.33,1026.08
722243,-8.47,-5.02,-4.82,21.33,1026.08
722365,-8.39,-5.10,-4.75,21.33,1026.08
722487,-8.47,-5.02,-4.75,21.33,1026.08
722608,-8.47,-5.02,-4.75,21.33,1026.07
722730,-8.51,-5.02,-4.79,21.33,1026.08
722852,-8.47,-5.06,-4.75,21.33,1026.08
722973,-8.43,-5.06,-4.75,21.33,1026.07
723095,-8.51,-5.02,-4.79,21.33,1026.07
723217,-8.43,-5.02,-4.82,21.33,1026.07
723338,-8.51,-5.02,-4.71,21.33,1026.06
723460,-8.43,-5.06,-4.79,21.33,1026.07
723582,-8.47,-5.06,-4.75,21.33,1026.07
723704,-8.47,-5.02,-4.75,21.33,1026.07
723825,-8.47,-5.02,-4.75,21.33,1026.07
723947,-8.47,-5.02,-4.79,21.33,1026.07
724068,-8.47,-5.06,-4.79,21.33,1026.07
724190,-8.47,-5.06,-4.79,21.33,1026.07
724312,-8.51,-5.02,-4.71,21.33,1026.07
724434,-8.47,-5.02,-4.75,21.33,1026.07
