Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
5093,0.31,-4.35,-9.77,19.10,1026.88
5211,0.51,-4.98,-9.69,19.10,1026.88
5330,0.27,-5.06,-9.57,19.10,1026.87
5449,-0.12,-5.18,-10.08,19.10,1026.87
5570,0.16,-4.55,-9.81,19.11,1026.87
5688,-0.47,-4.31,-9.61,19.11,1026.86
5807,-1.26,-5.10,-9.10,19.11,1026.86
5927,0.08,-5.02,-9.85,19.11,1026.87
6046,-0.47,-3.84,-9.69,19.11,1026.86
6166,0.27,-3.61,-9.61,19.11,1026.87
6284,0.35,-3.14,-10.16,19.12,1026.86
6403,1.22,-3.18,-11.92,19.12,1026.86
6523,0.12,-3.37,-10.51,19.12,1026.86
6643,0.67,-3.37,-10.28,19.12,1026.86
6763,0.86,-3.41,-10.67,19.12,1026.86
6882,-0.08,-3.57,-10.98,19.12,1026.86
7002,-0.04,-3.92,-10.32,19.12,1026.86
7123,0.00,-4.16,-10.12,19.13,1026.86
7243,-0.16,-4.39,-9.41,19.13,1026.86
7363,-0.16,-4.59,-10.47,19.13,1026.86
7483,-0.43,-4.31,-10.24,19.13,1026.86
7603,-0.59,-3.41,-11.85,19.13,1026.86
7724,0.63,-3.73,-13.34,19.14,1026.86
7844,0.71,-3.06,-11.22,19.14,1026.86
7964,0.78,-4.24,-9.49,19.14,1026.85
8082,-0.39,-4.63,-8.94,19.14,1026.85
8201,0.16,-4.71,-8.90,19.15,1026.84
8320,-0.82,-4.71,-9.61,19.15,1026.84
8440,0.39,-4.24,-9.65,19.15,1026.84
8559,1.45,-4.28,-9.96,19.15,1026.83
8677,1.49,-4.90,-8.59,19.15,1026.82
8795,0.82,-6.35,-9.34,19.15,1026.82
8914,1.61,-4.31,-8.75,19.15,1026.82
9033,1.65,-4.79,-9.10,19.15,1026.82
9151,3.14,-5.33,-9.81,19.15,1026.81
9269,3.96,-6.24,-8.87,19.15,1026.81
9388,2.98,-5.41,-9.57,19.15,1026.81
9507,2.35,-4.20,-9.69,19.15,1026.81
9626,2.43,-4.35,-9.10,19.16,1026.80
9744,2.28,-4.90,-8.90,19.16,1026.80
9862,2.59,-5.18,-7.69,19.16,1026.80
9981,2.55,-6.04,-9.45,19.16,1026.79
10100,2.47,-4.86,-8.87,19.15,1026.79
10220,2.00,-5.49,-8.63,19.15,1026.79
10339,2.20,-6.04,-9.65,19.15,1026.79
10458,1.49,-5.37,-9.06,19.15,1026.79
10578,1.45,-5.81,-9.14,19.15,1026.79
10698,1.53,-6.51,-9.06,19.15,1026.79
10818,1.57,-5.96,-8.83,19.15,1026.79
10936,1.65,-5.81,-8.47,19.15,1026.79
11056,1.69,-5.73,-8.63,19.15,1026.79
11176,2.31,-6.59,-8.90,19.15,1026.79
11296,2.12,-6.32,-8.98,19.15,1026.79
11416,2.28,-6.16,-8.47,19.15,1026.79
11534,2.28,-5.81,-8.47,19.16,1026.79
11654,2.39,-6.16,-8.59,19.16,1026.80
11774,2.12,-6.12,-8.04,19.16,1026.80
11894,2.28,-6.16,-8.55,19.16,1026.80
12014,2.35,-6.08,-8.47,19.16,1026.80
12132,2.31,-6.20,-8.43,19.16,1026.79
12252,2.31,-6.43,-8.55,19.17,1026.80
12372,1.77,-6.12,-8.16,19.17,1026.79
12492,2.35,-6.20,-8.24,19.17,1026.80
12612,2.47,-6.39,-8.63,19.17,1026.79
12730,2.28,-5.96,-8.20,19.17,1026.80
12850,2.28,-6.16,-8.39,19.17,1026.80
12970,2.28,-6.51,-8.51,19.17,1026.80
13090,2.51,-6.39,-8.94,19.18,1026.80
13210,2.24,-6.43,-9.02,19.18,1026.80
13328,2.16,-5.81,-8.36,19.18,1026.80
13448,2.47,-6.35,-8.55,19.18,1026.80
13568,2.51,-5.92,-8.28,19.18,1026.80
13688,2.28,-6.12,-8.63,19.18,1026.80
13808,2.55,-6.43,-8.75,19.19,1026.80
13926,2.31,-6.12,-8.51,19.19,1026.81
14046,2.51,-6.20,-8.43,19.19,1026.81
14166,2.39,-6.16,-8.39,19.19,1026.81
14286,2.35,-6.24,-8.59,19.19,1026.80
14406,2.47,-6.12,-8.43,19.19,1026.80
14524,2.39,-6.35,-8.55,19.19,1026.80
14644,2.39,-6.20,-8.32,19.19,1026.79
14764,2.43,-6.24,-8.32,19.20,1026.79
14884,2.35,-6.16,-8.39,19.20,1026.79
15004,2.39,-6.20,-8.47,19.20,1026.79
15122,2.51,-6.08,-8.20,19.20,1026.79
15242,2.43,-6.12,-8.43,19.20,1026.79
15362,2.43,-6.24,-8.55,19.21,1026.79
15482,2.39,-6.16,-8.36,19.21,1026.78
15602,2.43,-5.96,-8.28,19.21,1026.78
15720,2.51,-6.35,-8.67,19.21,1026.79
15840,2.35,-6.32,-8.67,19.22,1026.79
15960,2.35,-6.24,-8.75,19.22,1026.79
16080,2.55,-6.12,-8.43,19.22,1026.80
16200,2.35,-6.24,-8.47,19.22,1026.80
16318,2.28,-6.35,-8.43,19.22,1026.80
16438,2.35,-6.20,-8.55,19.23,1026.80
16558,2.39,-6.16,-8.39,19.23,1026.80
16678,2.43,-6.12,-8.32,19.23,1026.81
16798,2.43,-6.12,-8.36,19.23,1026.80
16916,2.43,-6.35,-8.59,19.23,1026.80
17036,2.39,-6.12,-8.51,19.24,1026.80
17156,2.43,-6.35,-8.47,19.24,1026.80
17276,2.39,-6.32,-8.47,19.24,1026.80
17396,2.43,-6.28,-8.47,19.24,1026.80
17515,2.35,-6.08,-8.36,19.25,1026.80
17634,2.51,-6.16,-8.47,19.25,1026.80
17754,2.39,-6.28,-8.59,19.25,1026.80
17874,2.20,-6.24,-8.75,19.25,1026.80
17994,2.47,-6.20,-8.55,19.25,1026.80
18113,2.43,-6.04,-8.39,19.25,1026.80
18232,2.28,-6.28,-8.59,19.26,1026.80
18352,2.35,-6.24,-8.67,19.26,1026.80
18472,2.35,-6.08,-8.51,19.26,1026.80
18591,2.43,-6.12,-8.55,19.26,1026.80
18711,2.31,-6.16,-8.51,19.26,1026.80
18830,2.35,-6.16,-8.71,19.27,1026.80
18950,2.39,-6.04,-8.71,19.27,1026.80
19070,2.47,-6.12,-8.55,19.27,1026.80
19189,2.16,-6.00,-8.47,19.28,1026.79
19309,2.43,-5.96,-8.59,19.28,1026.79
19428,2.28,-5.96,-8.28,19.28,1026.79
19548,2.16,-6.08,-8.43,19.28,1026.80
19668,2.12,-6.12,-8.51,19.29,1026.80
19787,2.04,-6.16,-8.51,19.29,1026.80
19907,2.28,-5.61,-8.16,19.29,1026.80
20026,2.00,-5.41,-8.20,19.29,1026.80
20146,2.51,-5.10,-8.24,19.29,1026.79
20266,1.61,-3.80,-9.53,19.30,1026.80
20385,2.12,-3.30,-10.24,19.30,1026.80
20506,0.86,-2.16,-9.26,19.30,1026.80
20625,2.63,-2.75,-10.87,19.30,1026.81
20746,2.82,-3.57,-10.67,19.30,1026.81
20867,2.82,-3.69,-11.22,19.30,1026.83
20988,3.84,-2.79,-11.34,19.30,1026.83
21108,3.80,-1.96,-9.73,19.31,1026.84
21228,4.90,-2.31,-10.87,19.31,1026.85
21390,4.35,1.22,-10.43,19.31,1026.85
21510,2.55,0.51,-10.71,19.31,1026.85
21630,0.39,-3.06,-10.67,19.32,1026.85
21751,1.41,-1.53,-10.83,19.32,1026.86
21871,0.78,-2.35,-11.18,19.32,1026.86
21991,0.75,-2.35,-10.67,19.32,1026.86
22112,1.26,-1.33,-10.94,19.33,1026.86
22233,1.49,-2.00,-10.87,19.33,1026.86
22354,0.08,-1.57,-9.81,19.33,1026.86
22473,0.55,0.04,-10.12,19.33,1026.87
22593,0.75,0.47,-10.71,19.34,1026.87
22712,1.26,0.94,-11.61,19.34,1026.88
22832,0.04,1.10,-10.40,19.34,1026.89
22952,0.35,1.29,-10.87,19.35,1026.90
Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
5,0.39,0.31,-11.81,19.01,1027.02
104,-0.47,0.59,-10.98,19.13,1027.12
204,-0.90,-0.35,-11.69,19.15,1027.12
319,-1.65,-1.14,-11.06,19.17,1027.12
439,-1.29,-0.24,-11.45,19.19,1027.11
559,-2.63,0.20,-10.75,19.23,1027.10
Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
5,-2.08,0.00,-10.12,19.03,1026.98
104,-2.79,-0.86,-10.24,19.16,1027.05
204,-2.39,0.16,-10.67,19.17,1027.04
320,-2.28,-1.88,-12.04,19.20,1027.03
440,-2.35,-1.73,-10.98,19.23,1027.01
560,-2.28,-1.22,-10.63,19.26,1027.01
680,-3.18,-1.10,-10.40,19.29,1027.00
800,-3.37,-1.18,-10.67,19.31,1026.99
918,-2.08,-1.02,-12.47,19.33,1026.98
1038,-2.24,-0.75,-11.22,19.35,1026.97
1159,-2.31,0.04,-8.63,19.37,1026.97
Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
4,-2.20,-2.59,-10.67,19.07,1026.85
Time (ms),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2),Temp (°C),Pressure (hPa)
4,-1.61,-2.63,-10.47,19.03,1026.81
104,-3.65,-1.84,-10.94,19.17,1026.90
204,-0.75,-3.96,-11.41,19.18,1026.90
322,-1.14,-2.24,-12.36,19.21,1026.90
441,-1.69,-1.29,-11.92,19.24,1026.90
561,-2.98,-1.61,-12.40,19.27,1026.89
681,-2.00,-2.75,-11.18,19.30,1026.90
801,-1.33,-0.94,-11.38,19.32,1026.91
920,0.47,-5.14,-13.18,19.34,1026.91
1038,-0.04,-0.35,-11.38,19.36,1026.92
1159,-2.79,-2.98,-12.04,19.38,1026.92
1280,-1.53,-0.08,-9.85,19.39,1026.92
1400,-1.22,-2.35,-17.26,19.40,1026.93
1520,-7.61,1.53,-7.96,19.41,1026.94
1638,-1.69,1.84,-11.61,19.42,1026.95
1758,-1.69,2.59,-10.08,19.43,1026.96
1878,-0.31,2.24,-10.94,19.44,1026.96
1998,-3.22,-3.37,-12.55,19.44,1026.98
2119,-5.18,0.94,-9.92,19.45,1026.97
2236,-1.14,-1.02,-11.77,19.45,1026.97
2357,-2.75,1.06,-11.30,19.46,1026.97
2477,-2.24,-1.45,-10.51,19.46,1026.97
2598,-0.98,-1.65,-10.40,19.46,1026.96
2719,-1.33,-3.57,-9.69,19.46,1026.97
2837,0.55,-2.55,-11.18,19.46,1026.97
2957,-1.10,-0.08,-10.75,19.46,1026.98
3078,0.43,-0.16,-12.59,19.46,1026.98
3198,-1.77,-0.59,-10.98,19.46,1026.98
3319,0.47,-2.31,-6.43,19.46,1026.96
3436,-3.53,0.12,-10.59,19.46,1026.96
3556,0.94,-0.59,-11.49,19.46,1026.96
3676,-1.77,-0.71,-11.77,19.47,1026.97
3797,-1.02,0.00,-10.32,19.48,1026.97
3917,-0.94,-1.10,-11.57,19.48,1026.97
4036,-0.20,-2.16,-10.04,19.49,1026.97
4157,-0.59,-2.55,-11.34,19.49,1026.98
4278,-0.08,-1.22,-11.14,19.50,1026.98
4399,-0.59,0.47,-10.67,19.50,1026.97
4519,-1.45,1.61,-10.12,19.51,1026.96
4639,-0.98,0.08,-11.30,19.51,1026.96
4757,-2.04,0.71,-11.49,19.51,1026.96
4877,-2.90,2.90,-9.30,19.52,1026.96
4996,-0.55,2.98,-7.37,19.52,1026.96
5115,-2.47,1.45,-11.69,19.53,1026.97
5234,-3.37,0.12,-11.65,19.53,1026.97
5353,-2.39,1.77,-10.71,19.53,1026.97
5473,-2.35,0.94,-11.53,19.54,1026.97
5593,-2.24,0.90,-10.98,19.54,1026.97
5713,-5.26,2.24,-10.24,19.55,1026.96
5832,-3.73,1.37,-12.67,19.55,1026.95
5951,-4.12,1.61,-11.18,19.55,1026.95
6071,-0.59,2.51,-11.65,19.56,1026.94
6191,0.55,3.02,-9.38,19.56,1026.94
6309,-2.67,1.73,-9.85,19.57,1026.94
6426,-3.06,1.96,-9.49,19.57,1026.93
6545,-3.41,2.28,-11.57,19.57,1026.93
6665,-3.14,4.43,-9.41,19.58,1026.93
6784,-3.49,4.31,-9.34,19.58,1026.93
6903,-3.49,3.37,-10.75,19.59,1026.92
7021,-3.02,2.79,-11.10,19.59,1026.92
7141,-3.30,4.90,-8.94,19.60,1026.92
7260,-3.53,6.16,-7.61,19.60,1026.92
7379,-2.71,6.47,-8.59,19.61,1026.92
7497,-1.69,6.51,-10.16,19.61,1026.92
7616,-3.80,5.41,-9.53,19.62,1026.92
7735,-3.84,7.10,-8.32,19.62,1026.93
7854,-5.30,11.10,-7.06,19.62,1026.92
7974,-4.12,4.67,-9.18,19.63,1026.93
8091,-4.00,5.10,-11.02,19.64,1026.93
8211,-3.77,4.94,-9.57,19.64,1026.93
